,Ticker,Quarter,Analyst,WeightTechnical
18299,FRC,2020 q2,"Mr. Jason M. Goldberg, CFA",0.0
18300,FRC,2020 q2,Erika L. Najarian,0.0
18302,FRC,2020 q2,"Mr. Christopher W. Marinac, CFA",0.03945944830775261
18303,FRC,2020 q2,"Jon G. Arfstrom, CPA",0.0
18304,FRC,2020 q2,Mr. David J. Chiaverini,0.0
18305,FRC,2020 q2,Ms. Susan Roth Katzke,0.0
18306,FRC,2020 q2,Mr. Jared D. Shaw,0.0
18309,FRC,2020 q2,SADIF Research,0.9779811501502991
18310,HBAN,2020 q2,Eric Compton,0.0
18311,HBAN,2020 q2,Pauline Bell,0.0
18316,HBAN,2020 q2,"Mr. Ken A. Zerbe, CFA",0.01666666753590107
18318,HBAN,2020 q2,Mr. John Pancari,0.0
18319,HBAN,2020 q2,"Matt D. O-Connor, CFA",0.0
18320,HBAN,2020 q2,Erika L. Najarian,0.0
18321,HBAN,2020 q2,"Mr. Jason M. Goldberg, CFA",0.0
18322,HBAN,2020 q2,Ken M. Usdin,0.0
18325,HBAN,2020 q2,Mr. Peter J. Winter,0.0
18326,HBAN,2020 q2,"Jon G. Arfstrom, CPA",0.0
18327,HBAN,2020 q2,Mr. R. Scott Siefers,0.0
18329,HBAN,2020 q2,"Mr. Terry McEvoy, CFA",0.0
18333,HBAN,2020 q2,SADIF Research,0.9779823422431946
18334,MTB,2020 q2,Pauline Bell,0.0
18335,MTB,2020 q2,"Mr. Jason M. Goldberg, CFA",0.0
18336,MTB,2020 q2,"Mr. Ken A. Zerbe, CFA",0.01666666753590107
18338,MTB,2020 q2,Erika L. Najarian,0.0
18339,MTB,2020 q2,Mr. John Pancari,0.0
18341,MTB,2020 q2,Ken M. Usdin,0.0
18342,MTB,2020 q2,Eric Compton,0.0
18343,MTB,2020 q2,"Matt D. O-Connor, CFA",0.0
18344,MTB,2020 q2,Mr. Peter J. Winter,0.010396375320851803
18345,MTB,2020 q2,Gerard S. Cassidy,0.0
18346,MTB,2020 q2,"Mr. Frank J. Schiraldi, CFA",0.0
18350,RF,2020 q2,"Mr. Stephen Scouten, CFA",0.0
18351,RF,2020 q2,"Ms. Jennifer H. Demba, CFA",0.005747491959482431
18352,RF,2020 q2,Pauline Bell,0.0
18353,RF,2020 q2,Mr. Christopher Spahr,0.04003862291574478
18355,RF,2020 q2,"Mr. Christopher W. Marinac, CFA",0.018549224361777306
18356,RF,2020 q2,Sam Stovall,0.0
18357,RF,2020 q2,"Mr. Terry McEvoy, CFA",0.014108827337622643
18358,RF,2020 q2,Ms. Susan Roth Katzke,0.0
18359,RF,2020 q2,Mr. John Pancari,0.0
18360,RF,2020 q2,"Mr. Jason M. Goldberg, CFA",0.0
18361,RF,2020 q2,Mr. Peter J. Winter,0.0
18362,RF,2020 q2,Erika L. Najarian,0.0
18363,RF,2020 q2,Eric Compton,0.01666666753590107
18365,RF,2020 q2,Gerard S. Cassidy,0.0
18366,RF,2020 q2,"Matt D. O-Connor, CFA",0.0
18374,SIVB,2020 q2,Pauline Bell,0.0
18375,SIVB,2020 q2,Mr. Christopher J. York,0.0
18377,SIVB,2020 q2,"Mr. Ken A. Zerbe, CFA",0.0
18378,SIVB,2020 q2,Mr. Ebrahim H. Poonawala,0.02123938500881195
18379,SIVB,2020 q2,"Mr. Jason M. Goldberg, CFA",0.0
18380,SIVB,2020 q2,Mr. Michael K. Diana,0.0
18381,SIVB,2020 q2,"Ms. Jennifer H. Demba, CFA",0.0
18382,SIVB,2020 q2,Mr. David J. Chiaverini,0.0
18383,SIVB,2020 q2,"Mr. Christopher W. Marinac, CFA",0.0
18384,SIVB,2020 q2,Mr. Jared D. Shaw,0.0
18385,SIVB,2020 q2,"Jon G. Arfstrom, CPA",0.0
18387,USB,2020 q2,Pauline Bell,0.0
18388,USB,2020 q2,Gerard S. Cassidy,0.01666666753590107
18389,USB,2020 q2,Ms. Susan Roth Katzke,0.0
18391,USB,2020 q2,Erika L. Najarian,0.0
18392,USB,2020 q2,"Matt D. O-Connor, CFA",0.0
18393,USB,2020 q2,"Mr. Jason M. Goldberg, CFA",0.0
18394,USB,2020 q2,Mr. John Pancari,0.0
18395,USB,2020 q2,Eric Compton,0.0
18397,USB,2020 q2,Chris M. Kotowski,0.05237011983990669
18399,USB,2020 q2,Mr. Peter J. Winter,0.0
18400,USB,2020 q2,Mr. R. Scott Siefers,0.0
18401,USB,2020 q2,"Mr. Terry McEvoy, CFA",0.0
18407,WFC,2020 q2,Ms. Susan Roth Katzke,0.006047422997653484
18408,WFC,2020 q2,"Mr. Kenneth M. Leon, CPA",0.0
18412,WFC,2020 q2,Eric Compton,0.0044828808556000395
18413,WFC,2020 q2,Erika L. Najarian,0.03333333507180214
18414,WFC,2020 q2,"Mr. Jason M. Goldberg, CFA",0.0
18415,WFC,2020 q2,Mr. John Pancari,0.0
18417,WFC,2020 q2,"Matt D. O-Connor, CFA",0.0
18418,WFC,2020 q2,Gerard S. Cassidy,0.0
18420,WFC,2020 q2,Mr. R. Scott Siefers,0.0
18425,C,2020 q2,Eric Compton,0.0
18428,KEY,2020 q2,"Mr. Ken A. Zerbe, CFA",0.01261180266737938
18429,PBCT,2020 q2,Pauline Bell,0.007884261863572257
18432,PBCT,2020 q2,Mr. Matthew M. Breese,0.0
18433,PBCT,2020 q2,"Mr. Ken A. Zerbe, CFA",0.0
18435,PBCT,2020 q2,Mr. Jake Civiello,0.0
18436,PBCT,2020 q2,Mr. Casey Haire,0.0
18437,PBCT,2020 q2,Mr. Jared D. Shaw,0.0
18439,PBCT,2020 q2,Mr. Mark Fitzgibbon,0.0
18442,PBCT,2020 q2,SADIF Research,0.9478760361671448
18444,ALB,2019 q1,"David L. Begleiter, CFA",0.0
18445,ALB,2019 q1,Mr. Arun S. Viswanathan,0.0
18446,ALB,2019 q1,Mr. Seth Goldstein,0.003836365882307291
18447,ALB,2019 q1,Mr. James M. Sheehan,0.023594187572598457
18448,ALB,2019 q1,"Mr. Laurence Alexander, CFA",0.0
18451,ALB,2019 q1,Christopher B. Muir,0.0
18455,ALB,2019 q1,"Sebastian Bray, CFA",0.0
18459,ALB,2019 q1,Mr. Ian Bennett,0.0
18460,ALB,2019 q1,Mr. Luis J. Amadeo,0.0
18462,ALB,2019 q1,Mr. Vincent Andrews,0.0
18464,ALB,2019 q1,Mr. Thomas Kee,0.9931548833847046
18469,CE,2019 q1,Christopher B. Muir,0.0
18470,CE,2019 q1,"David L. Begleiter, CFA",0.0
18471,CE,2019 q1,Duffy Fischer,0.0
18472,CE,2019 q1,Mr. Arun S. Viswanathan,0.03333333507180214
18473,CE,2019 q1,Mr. Seth Goldstein,0.0
18475,CE,2019 q1,Mr. James M. Sheehan,0.0
18477,CE,2019 q1,Mr. Vincent Andrews,0.0
18478,DD,2019 q1,"Mr. Laurence Alexander, CFA",0.0
18479,DD,2019 q1,Mr. James M. Sheehan,0.0
18480,DD,2019 q1,Mr. Mark Connelly,0.024767042137682438
18481,DD,2019 q1,Mr. Arun S. Viswanathan,0.0
18482,DD,2019 q1,Mr. Christopher S. Parkinson,0.0
18485,DD,2019 q1,Christopher B. Muir,0.0
18486,DD,2019 q1,Credit Suisse Global Product Marketing,0.0
18491,DD,2019 q1,Duffy Fischer,0.0
18492,DD,2019 q1,"David L. Begleiter, CFA",0.0
18493,DD,2019 q1,"Steve Byrne, CFA",0.0
18494,DD,2019 q1,Mr. Seth Goldstein,0.0
18497,DD,2019 q1,Mr. Donald D. Carson,0.0
18502,EMN,2019 q1,SADIF Research,0.9622046947479248
18503,EMN,2019 q1,Christopher B. Muir,0.0
18505,EMN,2019 q1,Mr. Arun S. Viswanathan,0.0
18506,EMN,2019 q1,"Mr. Laurence Alexander, CFA",0.0
18507,EMN,2019 q1,"David L. Begleiter, CFA",0.0
18508,EMN,2019 q1,Mr. Seth Goldstein,0.0
18509,EMN,2019 q1,Mr. James M. Sheehan,0.0
18511,EMN,2019 q1,Mr. Vincent Andrews,0.028970355167984962
18512,EMN,2019 q1,Mr. Thomas Kee,0.9931069016456604
18514,FMC,2019 q1,Christopher B. Muir,0.0
18515,FMC,2019 q1,Mr. Seth Goldstein,0.0
18517,FMC,2019 q1,Mr. Donald D. Carson,0.0
18518,FMC,2019 q1,Mr. Arun S. Viswanathan,0.0
18519,FMC,2019 q1,"Rosemarie J. Morbelli, CFA",0.0
18524,FMC,2019 q1,"Steve Byrne, CFA",0.0
18525,FMC,2019 q1,Mr. James M. Sheehan,0.0
18527,FMC,2019 q1,Mr. Christopher S. Parkinson,0.0
18531,FMC,2019 q1,"Mr. Laurence Alexander, CFA",0.0
18532,FMC,2019 q1,Mr. Mark Connelly,0.09322817623615265
18533,FMC,2019 q1,Mr. Thomas Kee,0.9930745363235474
18536,LYB,2019 q1,"Mr. Laurence Alexander, CFA",0.0
18537,LYB,2019 q1,Christopher B. Muir,0.0
18538,LYB,2019 q1,Mr. Donald D. Carson,0.0
18539,LYB,2019 q1,"Steve Byrne, CFA",0.03569720312952995
18541,LYB,2019 q1,Mr. Arun S. Viswanathan,0.0
18542,LYB,2019 q1,"David L. Begleiter, CFA",0.0
18544,LYB,2019 q1,Mr. James M. Sheehan,0.0
18547,PPG,2019 q1,SADIF Research,0.9779009819030762
18548,PPG,2019 q1,Christopher B. Muir,0.0
18549,PPG,2019 q1,Mr. Thomas Kee,0.9931548535823822
18551,PPG,2019 q1,Mr. Donald D. Carson,0.0
18552,PPG,2019 q1,Mr. Arun S. Viswanathan,0.0
18553,PPG,2019 q1,"Mr. Kevin W. Hocevar, CFA",0.012514485977590084
18554,PPG,2019 q1,Mr. James M. Sheehan,0.0
18556,PPG,2019 q1,"David L. Begleiter, CFA",0.0
18557,PPG,2019 q1,Duffy Fischer,0.0
18558,PPG,2019 q1,"Mr. Laurence Alexander, CFA",0.0
18559,PPG,2019 q1,"Steve Byrne, CFA",0.0
18560,PPG,2019 q1,Charles Gross,0.0
18563,SEE,2019 q1,Matthew Miller,0.0
18565,SEE,2019 q1,Mr. Arun S. Viswanathan,0.0
18566,SEE,2019 q1,Charles Gross,0.0
18569,SEE,2019 q1,George L. Staphos,0.03333333507180214
18571,SEE,2019 q1,Mr. Thomas Kee,0.9931382834911346
18573,SHW,2019 q1,Christopher B. Muir,0.0
18574,SHW,2019 q1,Charles Gross,0.005184518173336983
18575,SHW,2019 q1,"Charles E. Cerankosky, Jr",0.025597029831260443
18576,SHW,2019 q1,Mr. Donald D. Carson,0.0
18577,SHW,2019 q1,Scott A. Mushkin,0.0
18578,SHW,2019 q1,"Nishu Sood, CFA",0.0
18579,SHW,2019 q1,Mr. Arun S. Viswanathan,0.0
18581,SHW,2019 q1,"Steve Byrne, CFA",0.0
18583,SHW,2019 q1,"Rosemarie J. Morbelli, CFA",0.013228755444288254
18585,SHW,2019 q1,Mr. Thomas Kee,0.9931468963623047
18595,ECL,2019 q1,SADIF Research,0.9550849199295044
18596,ECL,2019 q1,Christopher B. Muir,0.0
18597,ECL,2019 q1,"David L. Begleiter, CFA",0.0
18599,ECL,2019 q1,"Mr. Gary E. Bisbee, CFA",0.0
18600,ECL,2019 q1,Mr. Seth Goldstein,0.0
18603,ECL,2019 q1,"Chip Moore, CFA",0.02417564671486616
18606,ECL,2019 q1,Mr. Christopher S. Parkinson,0.0
18607,ECL,2019 q1,Credit Suisse Global Product Marketing,0.0
18613,ECL,2019 q1,Mr. Tim Mulrooney,0.0
18614,ECL,2019 q1,Mr. Thomas Kee,0.9931468963623047
18616,LIN,2019 q1,"Hr. Martin Roediger, CEFA",0.0
18617,LIN,2019 q1,Krzysztof Smalec,0.0
18619,LIN,2019 q1,Tim A. Jones,0.0
18620,LIN,2019 q1,Mr. James M. Sheehan,0.0
18621,LIN,2019 q1,"David L. Begleiter, CFA",0.0
18626,LIN,2019 q1,Peter Clark,0.0
18628,CF,2019 q1,Christopher B. Muir,0.0
18629,CF,2019 q1,Mr. Donald D. Carson,0.003834763541817665
18633,CF,2019 q1,Mr. Seth Goldstein,0.0
18635,CF,2019 q1,Mr. Vincent Andrews,0.0
18636,CF,2019 q1,"Steve Byrne, CFA",0.0
18638,CF,2019 q1,Andrew D. Wong,0.01666666753590107
18639,CF,2019 q1,Mr. Mark Connelly,0.0
18641,CF,2019 q1,Mr. Christopher S. Parkinson,0.0
18645,FCX,2019 q1,SADIF Research,0.9626757502555847
18646,FCX,2019 q1,Matthew Miller,0.0
18648,FCX,2019 q1,Piyush Sood,0.0
18650,FCX,2019 q1,Mr. Oscar Cabrera,0.016966143622994423
18651,FCX,2019 q1,Mr. Thomas Kee,0.9931383728981018
18652,FCX,2019 q1,Timna Tanners,0.0
18655,FCX,2019 q1,"Orest Wowkodaw, CFA",0.0
18656,FCX,2019 q1,"Christopher LaFemina, CFA",0.0
18657,FCX,2019 q1,"Mr. Curt R. Woodworth, CFA",0.0
18658,FCX,2019 q1,Research Department,0.0
18659,FCX,2019 q1,Mr. Seth Goldstein,0.0
18661,MOS,2019 q1,Shanna Qiu,0.028672782704234123
18662,MOS,2019 q1,Christopher B. Muir,0.0
18663,MOS,2019 q1,"Steve Byrne, CFA",0.0
18664,MOS,2019 q1,Credit Suisse Global Product Marketing,0.0
18665,MOS,2019 q1,Mr. Donald D. Carson,0.0
18666,MOS,2019 q1,"Ben Isaacson, MBA",0.0
18667,MOS,2019 q1,Mr. Christopher S. Parkinson,0.0
18669,MOS,2019 q1,Mr. Seth Goldstein,0.002928647523125013
18672,MOS,2019 q1,Charles N. Neivert,0.0
18680,MOS,2019 q1,Mr. Thomas Kee,0.9931864738464355
18682,MOS,2019 q1,Andrew D. Wong,0.0
18684,APD,2019 q1,Matthew Miller,0.0
18685,APD,2019 q1,Mr. Christopher S. Parkinson,0.0
18686,APD,2019 q1,Peter Clark,0.0
18687,APD,2019 q1,SADIF Research,0.9247671961784363
18688,APD,2019 q1,Krzysztof Smalec,0.0
18689,APD,2019 q1,Mr. Raghav Bardalai,0.0
18690,APD,2019 q1,Mr. Donald D. Carson,0.0
18692,APD,2019 q1,Mr. James M. Sheehan,0.0
18693,APD,2019 q1,Mr. Thomas Kee,0.9931186735630035
18698,APD,2019 q1,"Mr. Laurence Alexander, CFA",0.0
18699,IFF,2019 q1,Ms. Lauren R. Lieberman,0.0
18700,IFF,2019 q1,SADIF Research,0.8979530334472656
18701,IFF,2019 q1,Matthew Miller,0.0
18702,IFF,2019 q1,M. Matthias Cornu,0.0
18703,IFF,2019 q1,Mr. Andrew Lane,0.0
18707,IFF,2019 q1,Ms. Faiza Alwy,0.0
18710,IFF,2019 q1,Mr. Thomas Kee,0.9931548535823822
18713,IP,2019 q1,Matthew Miller,0.0
18715,IP,2019 q1,Charles Gross,0.0
18717,IP,2019 q1,George L. Staphos,0.01854170300066471
18718,IP,2019 q1,Mr. Paul C. Quinn,0.0
18719,IP,2019 q1,Mr. Mark Connelly,0.011338675394654274
18721,IP,2019 q1,Mr. Thomas Kee,0.9791150689125061
18725,MLM,2019 q1,Matthew Miller,0.0
18726,MLM,2019 q1,Mr. Rohit Seth,0.0
18727,MLM,2019 q1,Trey Grooms,0.0
18729,MLM,2019 q1,"Nishu Sood, CFA",0.0
18730,MLM,2019 q1,Mr. Kristoffer Inton,0.03333333507180214
18733,MLM,2019 q1,Mr. Thomas Kee,0.9930826425552368
18737,NEM,2019 q1,Mr. Kristoffer Inton,0.006666667014360428
18740,NEM,2019 q1,Credit Suisse Global Product Marketing,0.011585324071347713
18741,NEM,2019 q1,Mr. Fahad Tariq,0.01591227389872074
18742,NEM,2019 q1,Matthew Miller,0.0
18746,NEM,2019 q1,"Christopher LaFemina, CFA",0.0
18747,NEM,2019 q1,"Michael R. Jalonen, CFA",0.0
18750,NEM,2019 q1,"Mr. Brian T. MacArthur, CFA",0.0
18752,NEM,2019 q1,Mr. Thomas Kee,0.9931069016456604
18757,NEM,2019 q1,"Ms. Anita P. Soni, CFA",0.015645373612642288
18758,NUE,2019 q1,Matthew Miller,0.0
18759,NUE,2019 q1,"Mr. Curt R. Woodworth, CFA",0.005568559747189283
18760,NUE,2019 q1,Credit Suisse Global Product Marketing,0.012158703058958054
18763,NUE,2019 q1,Mr. Andrew Lane,0.0
18764,NUE,2019 q1,Mr. Tyler L. Kenyon,0.0
18768,NUE,2019 q1,Timna Tanners,0.0
18770,NUE,2019 q1,Mr. Thomas Kee,0.9931389689445496
18774,PKG,2019 q1,Matthew Miller,0.0
18776,PKG,2019 q1,Charles Gross,0.0036728143071134887
18778,PKG,2019 q1,Ms. Debbie A. Jones,0.01853938028216362
18779,PKG,2019 q1,George L. Staphos,0.05675022304058075
18782,PKG,2019 q1,Mr. Thomas Kee,0.9930745363235474
18785,VMC,2019 q1,Matthew Miller,0.0
18786,VMC,2019 q1,Trey Grooms,0.0
18787,VMC,2019 q1,Mr. Kristoffer Inton,0.0
18789,VMC,2019 q1,"Nishu Sood, CFA",0.0
18791,VMC,2019 q1,SADIF Research,0.9349559545516968
18792,VMC,2019 q1,Michael Dahl,0.0
18794,VMC,2019 q1,Mr. Thomas Kee,0.9930745363235474
18796,BLL,2019 q1,Matthew Miller,0.0
18797,BLL,2019 q1,George L. Staphos,0.0
18798,BLL,2019 q1,"Mr. Scott L. Gaffner, CFA",0.0
18800,BLL,2019 q1,Charles Gross,0.0
18801,BLL,2019 q1,"Ms. Jessica Alsford, CFA",0.0
18803,WRK,2019 q1,Matthew Miller,0.0
18805,WRK,2019 q1,Ms. Debbie A. Jones,0.0
18806,WRK,2019 q1,Charles Gross,0.0
18808,WRK,2019 q1,George L. Staphos,0.0
18810,WRK,2019 q1,Mr. Mark Connelly,0.0
18811,WRK,2019 q1,Mr. Paul C. Quinn,0.03333333507180214
18812,AVY,2019 q1,"Mr. Scott L. Gaffner, CFA",0.0
18813,AVY,2019 q1,Mr. Lars F. Kjellberg,0.0
18815,AVY,2019 q1,Charles Gross,0.0
18818,AMP,2018 q1,Ms. Catherine A. Seifert,0.0
18822,AMP,2018 q1,Mr. Thomas Gallagher,0.0
18823,AMP,2018 q1,Mr. John B. Barnidge,0.0
18826,AMP,2018 q1,"Douglas R. Mewhirter, CFA",0.0
18828,AMP,2018 q1,"Mark A. Dwelle, CFA",0.0
18830,AMP,2018 q1,Nigel Dally,0.0
18837,AMP,2018 q1,"Jay H. Gelb, CFA",0.0
18838,BEN,2018 q1,"Mr. Michael J. Cyprys, CFA",0.0
18840,BEN,2018 q1,Ms. Catherine A. Seifert,0.0
18841,BEN,2018 q1,"Mr. Jeremy E. Campbell, CFA",0.0
18842,BEN,2018 q1,"Mr. Craig W. Siegenthaler, CFA",0.0
18844,BEN,2018 q1,"Christopher M. Harris, CFA",0.02374475635588169
18847,BEN,2018 q1,Mr. Greggory Warren,0.0
18848,BRKa,2018 q1,Mr. Greggory Warren,0.0
18849,BRKa,2018 q1,Ms. Catherine A. Seifert,0.0
18852,BRKa,2018 q1,"Jay H. Gelb, CFA",0.0
18853,BRKa,2018 q1,Kai Pan,0.0
18858,ETFC,2018 q1,"Michael R. Carrier, CFA",0.01666666753590107
18859,ETFC,2018 q1,"Mr. Michael J. Cyprys, CFA",0.0
18860,ETFC,2018 q1,"Richard H. Repetto, CFA",0.008333333767950535
18861,ETFC,2018 q1,"Douglas R. Mewhirter, CFA",0.0
18862,ETFC,2018 q1,Ms. Catherine A. Seifert,0.0
18865,ETFC,2018 q1,Research Department,0.0
18868,ETFC,2018 q1,"Mr. Craig W. Siegenthaler, CFA",0.0
18870,ETFC,2018 q1,"Brian B. Bedell, CFA",0.0
18873,ETFC,2018 q1,"Mr. Jeremy E. Campbell, CFA",0.0
18875,ETFC,2018 q1,"Christopher M. Harris, CFA",0.0
18877,ETFC,2018 q1,Daniel T. Fannon,0.0
18879,IVZ,2018 q1,SADIF Research,0.950886607170105
18880,IVZ,2018 q1,Ms. Catherine A. Seifert,0.0
18882,IVZ,2018 q1,Mr. Greggory Warren,0.0
18887,IVZ,2018 q1,"Mr. Jeremy E. Campbell, CFA",0.0
18889,IVZ,2018 q1,"Mark A. Dwelle, CFA",0.0
18890,IVZ,2018 q1,"Michael R. Carrier, CFA",0.0
18891,IVZ,2018 q1,"Mr. Glenn P. Schorr, CFA",0.0
18892,IVZ,2018 q1,"Christopher M. Harris, CFA",0.0
18895,NTRS,2018 q1,Ms. Catherine A. Seifert,0.0
18896,NTRS,2018 q1,Ms. Susan Roth Katzke,0.049331046640872955
18899,NTRS,2018 q1,Mr. Jeffery J. Harte,0.0
18900,NTRS,2018 q1,Gerard S. Cassidy,0.0
18901,NTRS,2018 q1,"Michael R. Carrier, CFA",0.022878386080265045
18903,NTRS,2018 q1,"Brian B. Bedell, CFA",0.0
18904,NTRS,2018 q1,Eric Compton,0.0
18905,NTRS,2018 q1,"Mr. Glenn P. Schorr, CFA",0.0
18909,SCHW,2018 q1,"Douglas R. Mewhirter, CFA",0.030351349463065464
18910,SCHW,2018 q1,Ms. Catherine A. Seifert,0.0
18912,SCHW,2018 q1,"Richard H. Repetto, CFA",0.0
18914,SCHW,2018 q1,"Mr. Jeremy E. Campbell, CFA",0.0
18915,SCHW,2018 q1,Daniel T. Fannon,0.0
18916,SCHW,2018 q1,"Christopher M. Harris, CFA",0.0
18920,SCHW,2018 q1,"Mr. Craig W. Siegenthaler, CFA",0.0
18921,SCHW,2018 q1,"Michael R. Carrier, CFA",0.02356131561100483
18923,TROW,2018 q1,Ms. Catherine A. Seifert,0.0
18924,TROW,2018 q1,"Mr. Michael J. Cyprys, CFA",0.0
18925,TROW,2018 q1,"Mr. Craig W. Siegenthaler, CFA",0.0
18927,TROW,2018 q1,Mr. Greggory Warren,0.0
18930,TROW,2018 q1,"Michael R. Carrier, CFA",0.0
18931,TROW,2018 q1,"Mr. Glenn P. Schorr, CFA",0.015016037970781326
18932,TROW,2018 q1,"Christopher M. Harris, CFA",0.0
18934,TROW,2018 q1,SADIF Research,0.9206558465957642
18935,TROW,2018 q1,Credit Suisse Global Product Marketing,0.0
18936,TROW,2018 q1,"Mr. Chris Shutler, CFA",0.0
18941,CME,2018 q1,Colin Plunkett,0.0
18942,CME,2018 q1,CFRA Research,0.0
18944,CME,2018 q1,SADIF Research,0.97846519947052
18947,CME,2018 q1,Daniel T. Fannon,0.0
18948,CME,2018 q1,"Michael R. Carrier, CFA",0.01666666753590107
18949,CME,2018 q1,"Richard H. Repetto, CFA",0.0
18951,CME,2018 q1,Chris Kuiper,0.0
18952,CME,2018 q1,"Mr. Jeremy E. Campbell, CFA",0.0
18954,CME,2018 q1,"Brian B. Bedell, CFA",0.0
18957,CME,2018 q1,"Christopher M. Harris, CFA",0.0
18958,CME,2018 q1,Charles Bendit,0.0
18963,ICE,2018 q1,CFRA Research,0.0
18964,ICE,2018 q1,"Mr. Michael Wong, CFA",0.003992150227228801
18965,ICE,2018 q1,Chris Kuiper,0.0
18967,ICE,2018 q1,"Mr. Jeremy E. Campbell, CFA",0.0
18968,ICE,2018 q1,"Michael R. Carrier, CFA",0.0
18970,ICE,2018 q1,"Christopher M. Harris, CFA",0.0
18973,NDAQ,2018 q1,"Mr. Jeremy E. Campbell, CFA",0.006836998276412487
18974,NDAQ,2018 q1,CFRA Research,0.0
18975,NDAQ,2018 q1,Ms. Shejal Ajmera,0.0
18977,NDAQ,2018 q1,"Mr. Michael Wong, CFA",0.021996259689331055
18979,NDAQ,2018 q1,"Christopher M. Harris, CFA",0.0
18980,NDAQ,2018 q1,Chris Kuiper,0.0
18984,NDAQ,2018 q1,"Michael R. Carrier, CFA",0.0
18987,RJF,2018 q1,Jack Hampson,0.0
18989,RJF,2018 q1,Credit Suisse Global Product Marketing,0.0
18992,RJF,2018 q1,"Mr. Craig W. Siegenthaler, CFA",0.0
18993,RJF,2018 q1,James F. Mitchell,0.0
18994,RJF,2018 q1,"Christopher M. Harris, CFA",0.036645207554101944
18995,MS,2018 q1,Gerard S. Cassidy,0.0
18996,MS,2018 q1,"Mr. Kenneth M. Leon, CPA",0.0
18999,MS,2018 q1,Mr. Andrew Lim,0.0
19001,MS,2018 q1,Mr. Jeffery J. Harte,0.0
19003,MS,2018 q1,"Michael R. Carrier, CFA",0.0
19007,MS,2018 q1,Ms. Susan Roth Katzke,0.0
19008,COF,2018 q1,Mr. Henry J. Coffey,0.0
19009,COF,2018 q1,Chris Kuiper,0.0
19011,COF,2018 q1,Mark Drucker,0.0
19012,COF,2018 q1,Mr. Kevin J. Barker,0.0
19013,COF,2018 q1,"Mr. Jason M. Goldberg, CFA",0.0
19016,COF,2018 q1,"Mr. Christopher R. Donat, CFA",0.0
19017,COF,2018 q1,Mr. Moshe Orenbuch,0.0
19018,COF,2018 q1,"Jason M. Arnold, CFA",0.0
19019,COF,2018 q1,Mr. John Pancari,0.0
19020,COF,2018 q1,"Mr. Ben C. Chittenden, CFA",0.0
19023,DFS,2018 q1,"Mr. Christopher R. Donat, CFA",0.011111111690600714
19024,DFS,2018 q1,Credit Suisse Global Product Marketing,0.0
19025,DFS,2018 q1,Chris Kuiper,0.0
19029,DFS,2018 q1,Mr. Kenneth M. Bruce,0.014872351661324501
19030,DFS,2018 q1,Mr. Robert P. Napoli,0.0
19031,DFS,2018 q1,Mark C. DeVries,0.0
19032,DFS,2018 q1,"Mr. Vincent A. Caintic, CFA",0.0
19033,DFS,2018 q1,Mr. Moshe Orenbuch,0.0
19034,DFS,2018 q1,Mr. Jim Sinegal,0.0
19036,DFS,2018 q1,David M. Scharf,0.0
19037,DFS,2018 q1,"Jason M. Arnold, CFA",0.015451380982995033
19038,DFS,2018 q1,Mr. James E. Friedman,0.0
19039,DFS,2018 q1,Mr. John Pancari,0.0
19040,DFS,2018 q1,"Mr. Ben C. Chittenden, CFA",0.0
19043,MCO,2018 q1,CFRA Research,0.0
19045,MCO,2018 q1,Ms. Toni M. Kaplan,0.0
19046,MCO,2018 q1,Chris Kuiper,0.0
19047,MCO,2018 q1,"Mr. Alex Kramm, CFA",0.0
19048,MCO,2018 q1,"Mr Anjaneya K. Singh, CFA",0.0
19049,MCO,2018 q1,"Peter P. Appert, CFA",0.0
19050,MCO,2018 q1,Mr. Jeffrey M. Silber,0.0
19051,MCO,2018 q1,Manav S. Patnaik,0.0
19053,MSCI,2018 q1,"Keith M. Housum, CPA",0.0
19054,MSCI,2018 q1,CFRA Research,0.0
19056,MSCI,2018 q1,Colin Plunkett,0.0
19057,MSCI,2018 q1,Chris Kuiper,0.0
19059,MSCI,2018 q1,Ms. Toni M. Kaplan,0.045198164880275726
19060,MSCI,2018 q1,"Mr Anjaneya K. Singh, CFA",0.0
19061,MSCI,2018 q1,Manav S. Patnaik,0.0
19063,MSCI,2018 q1,"Mr. Chris Shutler, CFA",0.0
19065,SYF,2018 q1,Colin Plunkett,0.0
19066,SYF,2018 q1,Mr. Moshe Orenbuch,0.0
19067,SYF,2018 q1,Mr. James E. Friedman,0.0
19068,SYF,2018 q1,Mr. Henry J. Coffey,0.0
19069,SYF,2018 q1,Chris Kuiper,0.0
19076,SYF,2018 q1,Mr. Kenneth M. Bruce,0.03333333507180214
19077,SYF,2018 q1,Mark C. DeVries,0.0
19078,SYF,2018 q1,Mr. Ashish Sabadra,0.0
19079,SYF,2018 q1,David M. Scharf,0.0
19084,SYF,2018 q1,Mr. Mark Palmer,0.0
19085,SPGI,2018 q1,Colin Plunkett,0.0
19087,SPGI,2018 q1,Mr. James E. Friedman,0.018109425902366638
19088,SPGI,2018 q1,"Mr Anjaneya K. Singh, CFA",0.0
19089,GS,2018 q1,Gerard S. Cassidy,0.0
19090,GS,2018 q1,"Mr. Kenneth M. Leon, CPA",0.0
19093,GS,2018 q1,Mr. Andrew Lim,0.0
19095,GS,2018 q1,James F. Mitchell,0.0
